Year,Total_population,Non_White_pop,Diversity%,Millenial_pop,Millenial%,Median_income
2015,321418821,86478721,0.269053071,86936057,0.270475938,28331.25
2016,323127515,88483476,0.273834545,87413147,0.27052214,29300
2017,325719178,90211721,0.27696165,88289034,0.271058752,30428
