,Market_id,Market_name,Market_state,State_code,FIPS_code,Lat,Long,County_code,Total_population,Non_White_pop,Diversity%,Millenial_pop,Millenial%,Median_income
0,1,Albany,NY ,36,36001,42.6526,	-73.7562,001,309612,77716,0.25101094272831803,91140,0.2943684353319639,34052
1,2,Atlanta, GA,13,13121, 	33.753746,	-84.386330,121,1041423,576002,0.5530912991166894,334400,0.32109911150416304,35434
2,3,Baltimore, MD,24,24510, 	39.299236,	-76.609383,510,611648,427660,0.6991929998953647,205749,0.33638465261065187,28426
3,4,Boise, ID,16,16015,	43.618881,	-116.215019,015,,,,,,
4,5,Boston, MA,25,25025, 	42.361145,	-71.057083,025,797939,352816,0.4421591124133549,319786,0.4007649707559099,32277
5,6,Buffalo, NY,36,36029,	42.880230,	-78.878738,029,925528,208810,0.22561175890950896,243552,0.2631492510221193,30399
6,7,Charlotte, NC,37,37119, 	35.227085,	-80.843124,119,1076837,499264,0.4636393437446893,337665,0.31357113472141096,34131
7,8,Chicago, IL,17,17031,	41.881832,	-87.623177,031,5211263,2272531,0.43608065837398724,1567543,0.3007990577332213,31860
8,9,Cincinnati, OH,39,39061,	39.103119,	-84.512016,061,813822,262478,0.3225250730503722,227950,0.28009810499101767,30836
9,10,Columbus, OH,39,39049,	39.983334,	-82.983330,049,1291981,434926,0.33663498147418575,421416,0.32617817135081706,31402
10,11,Dallas, TX,48,48113,	32.779167,	-96.808891,113,2618148,999856,0.38189437724681724,793302,0.30300120543223685,30499
11,12,Denver, CO,08,08031,	39.742043,	-104.991531,031,704621,173278,0.24591659913627326,264819,0.3758318301611788,38507
12,13,Detroit, MI,26,26163,	42.331429,	-83.045753,163,1753616,822959,0.4692925931332743,463340,0.26421976076860615,26163
13,14,Grand Rapids, MI,26,26081,	42.963795,	-85.670006,081,648594,130562,0.20130004286194444,188337,0.29037733929083526,30031
14,15,Harrisburg, PA,42,42043,	40.263680,	-76.890739,043,275710,81369,0.2951253128286968,71789,0.260378658735628,31679
15,16,Hartford, CT,09,09003,	41.763710,	-72.685097,003,895388,262013,0.29262509660616404,232742,0.2599342407984025,35873
16,17,Houston, TX,48,48225,	29.749907,	-95.358421,225,,,,,,
17,18,Indianapolis, IN,18,18053,	39.791000,	-86.148003,053,66491,8414,0.12654344196958986,16104,0.2421981922365433,22166
18,19,Jacksonville, FL,12,12031,	30.332184,	-81.655647,031,937934,378454,0.403497474235927,280899,0.2994869575044726,28906
19,20,Las Vegas, NV,32,32003,	36.114647,	-115.172813,003,2204079,907485,0.4117297973439246,622174,0.2822829853194917,30131
20,21,Los Angeles, CA,06,06037,	34.052235,	-118.243683,037,10163507,5115638,0.5033339377834836,3081754,0.3032175803096313,28608
21,22,Louisville, KY,21,21111,	38.328732,	-85.764771,111,771158,220233,0.28558738935471073,213485,0.27683691279867423,30797
22,23,Miami, FL,12,12086,	25.761681,	-80.191788,086,2751796,675090,0.2453270518599489,752289,0.27338109365665186,23248
23,24,Nashville, TN,47,47037,	36.174465,	-86.767960,037,691243,243574,0.35237101858536,240545,0.3479890573937096,31576
24,25,New Orleans, LA,22,22071,	29.951065,	-90.071533,071,393292,260168,0.6615135827832755,125873,0.32004973403984827,23819
25,26,New York City, NY,36,36085,	40.730610,	-73.935242,085,479458,127826,0.2666052083811304,122877,0.25628313637482325,37299
26,27,Orlando, FL,12,12095 ,	28.538336,	-81.379234,095,1348975,517507,0.3836297929909746,434304,0.321951111028744,26472
27,28,Philadelphia, PA,42,42101,	39.952583,	-75.165222,101,1580863,915803,0.579305733640423,521947,0.33016586510026485,25640
28,29,Phoenix, AZ,04,04013,	33.448376,	-112.074036,013,4307033,964741,0.22399201492071225,1196209,0.2777338831627248,31540
29,30,Pittsburgh, PA,42,42003,	40.440624,	-79.995888,003,1223048,248527,0.20320298140383697,334728,0.27368345314329445,31977
30,31,Portland, OR,41,41051 ,	45.523064,	-122.676483,051,807555,180650,0.22369993375064237,269902,0.33422119855613547,32033
31,32,Raleigh, NC,37,37183,	35.787743,	-78.644257,183,1072203,371983,0.34693336989357426,309196,0.28837449624744566,38598
32,33,Richmond, VA,51,51760,	37.541290,	-77.434769,760,227032,123416,0.5436061876739843,82997,0.3655740159977448,24447
33,34,Roanoke, VA,51,51770,	37.270969,	-79.941429,770,99837,38650,0.3871310235684165,26888,0.2693189899536244,24042
34,35,Sacramento, CA,06,06067,	38.590576,	-121.489906,067,1530615,671763,0.43888437000813396,442575,0.28914847953273687,31267
35,36,San Diego, CA,06,06073,	32.715736,	-117.161087,073,3337685,1012551,0.30336925144224214,1031679,0.3091001697284195,32687
36,37,San Francisco, CA,06,06075,	37.773972,	-122.431297,075,884363,481396,0.5443420857724712,334539,0.37828244736607025,50398
37,38,Seattle, WA,53,53033,	47.608013,	-122.335167,033,2188649,790673,0.36126075949135744,701290,0.32042141065104546,42989
38,39,Spokane, WA,53,53063,	47.658779,	-117.426048,063,506152,60855,0.12023068169245602,141748,0.2800502615815012,29353
39,40,St. Louis, MO,29,29510,	38.627003,	-90.199402,510,308626,165670,0.5367985846947438,106016,0.3435096200579342,26370
40,41,Syracuse, NY,36,36067,	43.088947,	-76.154480,067,465398,95663,0.20555094779092303,122344,0.26288037335785713,31534
41,42,Tampa, FL,12,12057,	27.964157,	-82.452606,057,1408566,390732,0.27739701228057473,403727,0.28662270706519966,28415
42,43,TotalUS,US,0,0,0,0,,,,,,,
